trade_id,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00119,SHORT,AVAILABLE,0.9781827286941236,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.2442110235228827,AVAILABLE,Thursday,True
L00120,SHORT,AVAILABLE,1.2111197557764837,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.4619143539007091,AVAILABLE,Friday,True
L00121,LONG,AVAILABLE,1.3034876973082807,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,2.343350509717781,AVAILABLE,Friday,True
L00122,SHORT,AVAILABLE,1.0501805713497292,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.5273062971895233,AVAILABLE,Friday,True
L00124,SHORT,AVAILABLE,0.0819264517298135,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.5892784123086374,AVAILABLE,Friday,True
L00126,SHORT,AVAILABLE,1.1504222617318571,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.681750749081865,AVAILABLE,Friday,True
L00127,LONG,AVAILABLE,2.493467296656849,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,2.41149431341864,AVAILABLE,Friday,True
L00129,SHORT,AVAILABLE,0.8270524586332988,AVAILABLE,NEUTRAL,AVAILABLE,1.4185410381305674,AVAILABLE,Sunday,True
L00130,SHORT,AVAILABLE,1.185048067012323,AVAILABLE,NEUTRAL,AVAILABLE,2.0416055429991933,AVAILABLE,Monday,True
L00131,SHORT,AVAILABLE,0.8888529670339468,AVAILABLE,NEUTRAL,AVAILABLE,2.09345667874104,AVAILABLE,Monday,True
L00133,SHORT,AVAILABLE,1.1053470066857574,AVAILABLE,NEUTRAL,AVAILABLE,0.8808095532519584,AVAILABLE,Monday,True
L00134,SHORT,AVAILABLE,0.9999140753574632,AVAILABLE,NEUTRAL,AVAILABLE,1.2321374395518023,AVAILABLE,Monday,True
L00135,SHORT,AVAILABLE,-0.1552764877458265,AVAILABLE,NEUTRAL,AVAILABLE,2.4310283426048764,AVAILABLE,Monday,True
L00136,LONG,AVAILABLE,0.7598081750313403,AVAILABLE,NEUTRAL,AVAILABLE,1.3151115669610594,AVAILABLE,Monday,True
L00137,SHORT,AVAILABLE,1.848155003706088,AVAILABLE,NEUTRAL,AVAILABLE,2.368569188113619,AVAILABLE,Monday,True
L00138,SHORT,AVAILABLE,0.9991562246978568,AVAILABLE,NEUTRAL,AVAILABLE,2.184385834500987,AVAILABLE,Monday,True
L00141,SHORT,AVAILABLE,0.2612148617088323,AVAILABLE,NEUTRAL,AVAILABLE,1.2155553879611645,AVAILABLE,Tuesday,True
L00142,LONG,AVAILABLE,1.4328314366173134,AVAILABLE,NEUTRAL,AVAILABLE,1.6846147639201914,AVAILABLE,Tuesday,True
L00144,SHORT,AVAILABLE,1.7833990522980596,AVAILABLE,NEUTRAL,AVAILABLE,1.5253460156031335,AVAILABLE,Tuesday,True
L00145,SHORT,AVAILABLE,0.466847829669557,AVAILABLE,NEUTRAL,AVAILABLE,1.0163716857528071,AVAILABLE,Tuesday,True
L00146,SHORT,AVAILABLE,0.6049001102202298,AVAILABLE,NEUTRAL,AVAILABLE,1.4223758779773816,AVAILABLE,Tuesday,True
L00147,SHORT,AVAILABLE,1.2004409693294336,AVAILABLE,NEUTRAL,AVAILABLE,1.38870579144971,AVAILABLE,Tuesday,True
L00148,SHORT,AVAILABLE,1.9680782532719447,AVAILABLE,NEUTRAL,AVAILABLE,1.6746290722496526,AVAILABLE,Tuesday,True
L00149,LONG,AVAILABLE,1.618535467435769,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.139039148838502,AVAILABLE,Tuesday,True
L00150,LONG,AVAILABLE,0.0732450069299294,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,2.142315350998369,AVAILABLE,Wednesday,True
L00151,LONG,AVAILABLE,1.069856360430714,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.6147642915746094,AVAILABLE,Wednesday,True
L00152,LONG,AVAILABLE,0.3699252907975199,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,0.8453190233001869,AVAILABLE,Wednesday,True
L00153,SHORT,AVAILABLE,1.748112485655776,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.4481792119047094,AVAILABLE,Wednesday,True
