trade_id,limit_created_bar,limit_created_time_utc,direction,momentum_status,roc_atr_3,alignment_status,alignment,structure_status,origin_dist_atr,context_status,weekday,all_available
L00842,26279,2025-08-27 13:30:03,SHORT,AVAILABLE,2.231383651106749,AVAILABLE,NEUTRAL,AVAILABLE,1.570514471795045,AVAILABLE,Wednesday,True
L00843,26306,2025-08-27 15:45:03,SHORT,AVAILABLE,0.4279833579005908,AVAILABLE,NEUTRAL,AVAILABLE,1.5943579306349702,AVAILABLE,Wednesday,True
L00844,26331,2025-08-27 17:50:03,SHORT,AVAILABLE,0.0634736038089972,AVAILABLE,NEUTRAL,AVAILABLE,1.900687998682476,AVAILABLE,Wednesday,True
L00845,26390,2025-08-27 23:45:03,SHORT,AVAILABLE,2.06875982448778,AVAILABLE,NEUTRAL,AVAILABLE,1.2146510469809522,AVAILABLE,Wednesday,True
L00846,26397,2025-08-28 00:20:03,LONG,AVAILABLE,1.7124780703492222,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.3582312637959577,AVAILABLE,Thursday,True
L00847,26424,2025-08-28 02:35:03,LONG,AVAILABLE,0.2698933069974001,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,1.242287828565908,AVAILABLE,Thursday,True
L00848,26443,2025-08-28 04:10:03,LONG,AVAILABLE,-0.110837397130363,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,3.88465865112401,AVAILABLE,Thursday,True
L00849,26506,2025-08-28 09:25:03,SHORT,AVAILABLE,0.9820621160316444,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.274045320495821,AVAILABLE,Thursday,True
L00850,26543,2025-08-28 12:30:03,SHORT,AVAILABLE,1.7336399905507625,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.4836197115706806,AVAILABLE,Thursday,True
L00851,26552,2025-08-28 13:15:03,LONG,AVAILABLE,0.6120126190581834,AVAILABLE,ALIGNED_SINGLE,AVAILABLE,2.193586806383275,AVAILABLE,Thursday,True
L00852,26576,2025-08-28 15:15:03,SHORT,AVAILABLE,0.9946484702100103,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.1755774091756444,AVAILABLE,Thursday,True
L00853,26602,2025-08-28 17:25:03,SHORT,AVAILABLE,0.254283173232156,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.473368343819858,AVAILABLE,Thursday,True
L00854,26618,2025-08-28 18:45:03,SHORT,AVAILABLE,0.5638385854292577,AVAILABLE,AGAINST_SINGLE,AVAILABLE,0.7306248329675764,AVAILABLE,Thursday,True
L00855,26623,2025-08-28 19:10:03,SHORT,AVAILABLE,1.0573902022147772,AVAILABLE,AGAINST_SINGLE,AVAILABLE,1.305128828298719,AVAILABLE,Thursday,True
L00856,26633,2025-08-28 20:00:03,SHORT,AVAILABLE,0.3046258312212081,AVAILABLE,AGAINST_SINGLE,AVAILABLE,2.383898030279009,AVAILABLE,Thursday,True
L00857,26649,2025-08-28 22:20:03,LONG,AVAILABLE,0.3375911290187868,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.202041259922488,AVAILABLE,Thursday,True
L00858,26656,2025-08-28 22:55:03,LONG,AVAILABLE,0.6577440635030575,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.3639324268602295,AVAILABLE,Thursday,True
L00859,26669,2025-08-29 00:00:03,LONG,AVAILABLE,1.0327101214492458,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.223757397774677,AVAILABLE,Friday,True
L00860,26693,2025-08-29 02:00:03,LONG,AVAILABLE,1.053156883394866,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.9171998361624327,AVAILABLE,Friday,True
L00861,26735,2025-08-29 05:30:03,LONG,AVAILABLE,1.6040827324681093,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.433371769126646,AVAILABLE,Friday,True
L00862,26761,2025-08-29 07:40:03,LONG,AVAILABLE,1.6331172683857151,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.6381130933713677,AVAILABLE,Friday,True
L00863,26796,2025-08-29 10:35:03,LONG,AVAILABLE,0.6995911366185922,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.378669798323262,AVAILABLE,Friday,True
L00864,26804,2025-08-29 11:15:03,LONG,AVAILABLE,0.8706697096643499,AVAILABLE,ALIGNED_CONFIRMED,AVAILABLE,1.4579090496770346,AVAILABLE,Friday,True
L00865,26815,2025-08-29 12:10:03,SHORT,AVAILABLE,1.3403637508774309,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.737105864233553,AVAILABLE,Friday,True
L00866,26863,2025-08-29 16:10:03,SHORT,AVAILABLE,0.4803275883381285,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.479346592645893,AVAILABLE,Friday,True
L00867,26879,2025-08-29 17:30:03,SHORT,AVAILABLE,1.080137188505632,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,1.1967579358591651,AVAILABLE,Friday,True
L00868,26909,2025-08-29 20:00:03,SHORT,AVAILABLE,1.2399808513820645,AVAILABLE,AGAINST_CONFIRMED,AVAILABLE,2.610578430973076,AVAILABLE,Friday,True
