time,time_server,time_utc,open,high,low,close,spread
1787211600,1787211600,1787211601,4489.936,4493.091,4489.155,4490.998,260
1787211900,1787211900,1787211901,4491.188,4494.031,4489.035,4489.127,260
1787212200,1787212200,1787212201,4489.343,4491.026,4488.193,4491.004,260
1787212500,1787212500,1787212501,4491.048,4492.387,4489.24,4490.746,260
1787212800,1787212800,1787212801,4490.735,4494.931,4490.47,4492.624,260
1787213100,1787213100,1787213101,4492.568,4494.411,4490.897,4493.735,260
1787213400,1787213400,1787213401,4493.854,4495.504,4491.59,4494.103,260
1787213700,1787213700,1787213701,4494.068,4498.745,4493.766,4496.437,260
1787214000,1787214000,1787214001,4496.382,4497.95,4494.843,4495.627,260
1787214300,1787214300,1787214301,4495.601,4496.28,4489.771,4491.366,260
1787214600,1787214600,1787214601,4491.123,4493.073,4487.011,4492.956,260
1787214900,1787214900,1787214901,4493.272,4495.244,4489.95,4491.799,260
1787215200,1787215200,1787215201,4491.732,4493.036,4490.179,4490.635,260
1787215500,1787215500,1787215501,4490.561,4491.601,4487.755,4487.755,260
1787215800,1787215800,1787215801,4488.082,4491.871,4487.634,4491.626,260
1787216100,1787216100,1787216101,4491.551,4492.096,4487.551,4489.193,260
1787216400,1787216400,1787216401,4489.137,4491.118,4488.444,4490.537,260
1787216700,1787216700,1787216701,4490.55,4493.165,4488.676,4491.552,260
1787217000,1787217000,1787217001,4491.623,4494.221,4491.213,4492.446,260
1787217300,1787217300,1787217301,4492.337,4493.759,4489.09,4489.124,260
1787217600,1787217600,1787217601,4489.382,4492.856,4488.159,4489.918,260
1787217900,1787217900,1787217901,4489.931,4490.92,4488.066,4490.001,260
1787218200,1787218200,1787218201,4489.935,4490.475,4486.965,4487.61,260
1787218500,1787218500,1787218501,4487.615,4488.427,4484.383,4486.28,260
1787218800,1787218800,1787218801,4485.925,4490.27,4485.68,4489.095,260
1787219100,1787219100,1787219101,4489.303,4489.303,4484.893,4485.641,260
1787219400,1787219400,1787219401,4485.641,4486.343,4481.778,4484.052,260
1787219700,1787219700,1787219701,4484.112,4484.685,4481.78,4482.733,260
1787220000,1787220000,1787220001,4482.398,4485.955,4480.526,4485.214,260
1787220300,1787220300,1787220301,4485.154,4489.767,4485.101,4489.388,260
1787220600,1787220600,1787220601,4489.266,4491.421,4487.97,4490.355,260
1787220900,1787220900,1787220901,4490.409,4491.82,4489.762,4490.396,260
1787221200,1787221200,1787221201,4490.34,4490.748,4486.468,4488.758,260
1787221500,1787221500,1787221501,4489.095,4494.227,4488.268,4493.582,260
1787221800,1787221800,1787221801,4493.64,4494.844,4492.318,4492.972,260
1787222100,1787222100,1787222101,4492.917,4494.62,4490.146,4490.532,260
1787222400,1787222400,1787222401,4490.406,4491.327,4489.86,4491.216,260
1787222700,1787222700,1787222701,4491.271,4491.406,4488.587,4490.346,260
1787223000,1787223000,1787223001,4490.019,4490.779,4487.316,4487.998,260
1787223300,1787223300,1787223301,4487.941,4490.478,4487.487,4490.238,260
1787223600,1787223600,1787223601,4490.357,4491.403,4487.54,4488.389,260
1787223900,1787223900,1787223901,4488.443,4488.536,4485.653,4487.433,260
1787224200,1787224200,1787224201,4487.458,4487.644,4482.791,4485.147,260
1787224500,1787224500,1787224501,4485.093,4485.964,4481.116,4482.423,260
1787224800,1787224800,1787224801,4482.418,4487.536,4481.766,4487.39,260
1787225100,1787225100,1787225101,4487.327,4489.981,4484.049,4484.357,260
1787225400,1787225400,1787225401,4484.425,4485.996,4482.434,4484.989,260
1787225700,1787225700,1787225701,4484.936,4486.863,4479.682,4481.819,260
1787226000,1787226000,1787226001,4481.872,4482.726,4474.095,4474.883,260
1787226300,1787226300,1787226301,4474.94,4475.83,4465.57,4471.338,260
1787226600,1787226600,1787226601,4471.12,4473.046,4466.037,4467.266,260
1787226900,1787226900,1787226901,4467.072,4471.344,4465.284,4467.154,260
1787227200,1787227200,1787227201,4467.21,4467.292,4456.961,4458.331,260
1787227500,1787227500,1787227501,4458.271,4459.464,4450.39,4456.995,260
1787227800,1787227800,1787227801,4456.875,4466.152,4456.47,4462.538,260
1787228100,1787228100,1787228101,4462.356,4467.431,4461.918,4466.744,260
1787228400,1787228400,1787228401,4466.689,4467.977,4461.695,4463.745,260
1787228700,1787228700,1787228701,4463.661,4463.773,4456.833,4459.482,260
1787229000,1787229000,1787229001,4459.655,4460.938,4450.847,4453.448,260
1787229300,1787229300,1787229301,4453.375,4463.404,4451.668,4463.282,260
1787229600,1787229600,1787229601,4463.023,4467.038,4459.881,4466.516,260
1787229900,1787229900,1787229901,4466.439,4471.333,4463.956,4471.194,260
1787230200,1787230200,1787230201,4471.192,4475.438,4469.888,4472.014,260
1787230500,1787230500,1787230501,4472.018,4477.157,4471.651,4474.64,260
1787230800,1787230800,1787230801,4474.76,4484.716,4473.631,4478.712,260
1787231100,1787231100,1787231101,4478.772,4480.376,4472.926,4473.825,260
1787231400,1787231400,1787231401,4473.77,4475.979,4471.624,4472.78,260
1787231700,1787231700,1787231701,4472.713,4476.831,4470.856,4474.732,260
1787232000,1787232000,1787232001,4474.697,4476.492,4471.314,4474.226,260
1787232300,1787232300,1787232301,4474.171,4474.518,4470.026,4471.598,260
1787232600,1787232600,1787232601,4471.905,4477.474,4469.162,4475.619,260
1787232900,1787232900,1787232901,4475.551,4486.751,4474.483,4483.78,260
1787233200,1787233200,1787233201,4483.685,4487.996,4477.692,4486.752,260
1787233500,1787233500,1787233501,4486.599,4489.364,4480.246,4482.166,260
1787233800,1787233800,1787233801,4482.105,4486.595,4481.097,4485.794,260
1787234100,1787234100,1787234101,4485.581,4486.643,4479.156,4481.556,260
1787234400,1787234400,1787234401,4481.611,4490.74,4481.557,4483.508,260
1787234700,1787234700,1787234701,4483.413,4486.862,4480.681,4485.216,260
1787235000,1787235000,1787235001,4485.122,4489.054,4483.46,4485.276,260
1787235300,1787235300,1787235301,4485.065,4489.456,4481.821,4482.161,260
1787235600,1787235600,1787235601,4482.294,4493.989,4481.787,4490.734,260
1787235900,1787235900,1787235901,4490.917,4493.165,4486.591,4491.744,260
1787236200,1787236200,1787236201,4491.801,4497.141,4491.7,4494.239,260
1787236500,1787236500,1787236501,4494.597,4500.888,4492.92,4495.816,260
1787236800,1787236800,1787236801,4496.153,4501.252,4493.743,4499.124,260
1787237100,1787237100,1787237101,4499.055,4508.992,4498.61,4507.855,260
1787237400,1787237400,1787237401,4507.797,4510.448,4504.904,4509.748,260
1787237700,1787237700,1787237701,4509.674,4516.282,4509.175,4515.675,260
1787238000,1787238000,1787238001,4515.807,4536.748,4514.93,4535.659,260
1787238300,1787238300,1787238301,4535.603,4536.525,4522.428,4524.601,260
1787238600,1787238600,1787238601,4524.476,4537.398,4521.397,4534.863,260
1787238900,1787238900,1787238901,4534.981,4540.802,4530.357,4539.466,260
1787239200,1787239200,1787239201,4539.707,4540.868,4523.338,4527.271,260
1787239500,1787239500,1787239501,4526.943,4534.124,4525.596,4532.349,260
1787239800,1787239800,1787239801,4532.344,4533.823,4522.756,4523.807,260
1787240100,1787240100,1787240101,4524.021,4526.895,4517.18,4518.627,260
1787240400,1787240400,1787240401,4518.69,4519.819,4509.066,4511.662,260
1787240700,1787240700,1787240701,4511.721,4521.473,4510.8,4520.038,260
1787241000,1787241000,1787241001,4520.257,4521.605,4515.508,4519.229,260
1787241300,1787241300,1787241301,4519.172,4524.225,4517.466,4521.719,260
1787241600,1787241600,1787241601,4521.775,4524.807,4519.129,4519.739,260
1787241900,1787241900,1787241901,4519.796,4522.116,4518.645,4519.882,260
1787242200,1787242200,1787242201,4519.819,4520.471,4510.219,4511.316,260
1787242500,1787242500,1787242501,4511.219,4513.281,4508.422,4512.055,260
1787242800,1787242800,1787242801,4512.092,4513.079,4509.109,4511.657,260
1787243100,1787243100,1787243101,4511.708,4511.915,4505.229,4509.318,260
1787243400,1787243400,1787243401,4509.463,4509.894,4502.721,4509.159,260
1787243700,1787243700,1787243701,4509.042,4512.735,4506.868,4507.319,260
1787244000,1787244000,1787244001,4507.259,4510.354,4506.949,4509.269,260
1787244300,1787244300,1787244301,4509.208,4512.594,4507.335,4512.094,260
1787244600,1787244600,1787244601,4512.034,4513.814,4508.761,4509.606,260
1787244900,1787244900,1787244901,4509.528,4511.279,4507.617,4510.118,260
1787245200,1787245200,1787245201,4509.928,4514.14,4509.717,4511.657,260
1787245500,1787245500,1787245501,4511.711,4511.992,4507.55,4509.783,260
1787245800,1787245800,1787245801,4509.726,4510.651,4507.652,4509.51,260
1787246100,1787246100,1787246101,4509.119,4511.475,4507.951,4508.807,260
1787246400,1787246400,1787246401,4508.523,4514.329,4508.241,4511.355,260
1787246700,1787246700,1787246701,4511.222,4516.677,4509.188,4513.011,260
1787247000,1787247000,1787247001,4513.07,4518.502,4510.644,4518.356,260
1787247300,1787247300,1787247301,4518.087,4518.688,4515.967,4516.774,260
1787247600,1787247600,1787247601,4516.734,4518.402,4515.885,4518.106,260
1787247900,1787247900,1787247901,4518.05,4520.352,4517.096,4518.916,260
1787248200,1787248200,1787248201,4519.072,4520.041,4516.955,4518.781,260
1787248500,1787248500,1787248501,4518.55,4520.465,4517.938,4519.745,260
1787248800,1787248800,1787248801,4519.816,4522.355,4518.101,4521.621,260
1787249100,1787249100,1787249101,4521.681,4522.49,4514.597,4516.699,260
1787249400,1787249400,1787249401,4516.617,4516.787,4509.236,4510.728,260
1787249700,1787249700,1787249701,4510.674,4516.372,4508.12,4515.598,260
1787250000,1787250000,1787250001,4515.665,4518.119,4514.804,4516.317,260
1787250300,1787250300,1787250301,4516.197,4520.135,4516.123,4519.1,260
1787250600,1787250600,1787250601,4519.032,4521.609,4518.294,4519.222,260
1787250900,1787250900,1787250901,4519.278,4523.45,4518.621,4521.187,260
1787251200,1787251200,1787251201,4520.917,4521.947,4519.539,4519.914,260
1787251500,1787251500,1787251501,4520.039,4521.54,4517.703,4521.237,260
1787251800,1787251800,1787251801,4521.215,4525.389,4520.912,4524.742,260
1787252100,1787252100,1787252101,4524.686,4525.009,4521.218,4522.089,260
1787252400,1787252400,1787252401,4521.994,4522.55,4518.13,4521.431,260
1787252700,1787252700,1787252701,4521.741,4526.264,4521.179,4525.906,260
1787253000,1787253000,1787253001,4525.944,4528.092,4524.106,4527.342,260
