category,trade_id,bar,time_utc,direction,close,tv22_day_first_bar,tv22_day_first_time,daily_open_TV22,D_state_TV22,daily_open_UTC00,D_state_UTC00,daily_open_NY18,D_state_NY18,htf_block_start,new_htf_block,res_src,sup_src,pivot_1,pivot_2,pivot_3,hch_active_level,hch_form_bar,HCH_state,m15_bucket_start,ema200_m15_prev,ema200_m15_smooth,ema50,ema200,max_input_bar
htf_block_reset_or_level_update,L00031,739,2025-04-17 11:25:03,SHORT,3326.949,578,2025-04-16 22:00:03,3343.801,ALIGNED,3350.168,ALIGNED,3343.801,ALIGNED,2025-04-17 11:20:00,False,3332.47,3322.949,3332.47,3357.752,3356.041,3332.47,739.0,HCH,2025-04-17 11:15:00,3296.1819653285856,3296.4881049770574,3326.2595734962247,3327.1661558154924,739
htf_block_reset_or_level_update,L00039,1014,2025-04-21 11:25:03,LONG,3392.587,854,2025-04-20 22:05:03,3331.849,ALIGNED,3348.191,ALIGNED,3331.849,ALIGNED,2025-04-21 11:20:00,False,3392.72,3387.747,3387.747,3331.288,3283.822,,855.0,NO_HCH,2025-04-21 11:15:00,3334.563450048972,3335.1407988047035,3391.639432820307,3371.267274349017,1014
htf_block_reset_or_level_update,L00050,1294,2025-04-22 11:45:03,LONG,3455.939,1129,2025-04-21 22:00:03,3423.892,ALIGNED,3434.524,ALIGNED,3423.892,ALIGNED,2025-04-22 11:20:00,False,3457.373,3448.08,3448.08,3449.221,3450.316,3450.316,1290.0,NO_HCH,2025-04-22 11:45:00,3403.509141200848,3404.030831338153,3458.9954743273593,3451.033144649793,1294
htf_block_reset_or_level_update,L00052,1301,2025-04-22 12:20:03,SHORT,3453.234,1129,2025-04-21 22:00:03,3423.892,AGAINST,3434.524,AGAINST,3423.892,AGAINST,2025-04-22 11:20:00,False,3464.803,3448.08,3464.803,3462.527,3461.272,3457.016,1290.0,NO_HCH,2025-04-22 12:15:00,3404.556457085092,3405.040810745937,3458.4968746923396,3451.4364765503565,1301
htf_block_reset_or_level_update,L00061,1571,2025-04-23 11:50:03,SHORT,3324.805,1405,2025-04-22 22:00:03,3337.567,ALIGNED,3336.607,ALIGNED,3337.567,ALIGNED,2025-04-23 11:20:00,False,3339.051,3324.805,3339.051,3386.646,3386.294,3339.051,1566.0,HCH,2025-04-23 11:45:00,3375.177615012602,3374.676394962725,3328.5888254768192,3348.5620086894864,1571
htf_block_reset_or_level_update,L00065,1848,2025-04-24 11:55:03,SHORT,3336.917,1681,2025-04-23 22:00:03,3294.995,AGAINST,3316.351,AGAINST,3294.995,AGAINST,2025-04-24 11:20:00,False,3343.988,3334.941,3343.988,3342.395,3367.574,3342.395,1842.0,NO_HCH,2025-04-24 11:45:00,3341.674927037244,3341.627584479659,3334.1955311171914,3328.028434937005,1848
htf_block_reset_or_level_update,L00073,2114,2025-04-25 11:25:03,LONG,3298.608,1957,2025-04-24 22:20:03,3353.176,AGAINST,3348.951,AGAINST,3353.176,AGAINST,2025-04-25 11:20:00,False,3299.179,3294.358,3294.358,3287.012,3299.531,3294.358,2114.0,HCH,2025-04-25 11:15:00,3332.4666986912766,3332.1297962167364,3302.2570721086477,3319.312193680492,2114
htf_block_reset_or_level_update,L00074,2116,2025-04-25 11:35:03,SHORT,3293.655,1957,2025-04-24 22:20:03,3353.176,ALIGNED,3348.951,ALIGNED,3353.176,ALIGNED,2025-04-25 11:20:00,False,3299.624,3293.655,3299.624,3299.179,3370.789,3299.179,2114.0,NO_HCH,2025-04-25 11:30:00,3332.1297962167364,3331.746962423535,3301.7849220041767,3318.8536356511268,2116
hch_check,L00014,325,2025-04-15 23:55:03,LONG,3251.78,302,2025-04-15 22:00:03,3230.815,ALIGNED,3212.601,ALIGNED,3230.815,ALIGNED,2025-04-15 22:00:00,False,3251.826,3229.896,3229.896,3211.599,3211.627,3229.896,303.0,HCH,2025-04-15 23:45:00,3218.9284758106505,3219.2553566483557,3235.528837080999,3226.7576052300124,325
hch_check,L00031,739,2025-04-17 11:25:03,SHORT,3326.949,578,2025-04-16 22:00:03,3343.801,ALIGNED,3350.168,ALIGNED,3343.801,ALIGNED,2025-04-17 11:20:00,False,3332.47,3322.949,3332.47,3357.752,3356.041,3332.47,739.0,HCH,2025-04-17 11:15:00,3296.1819653285856,3296.4881049770574,3326.2595734962247,3327.1661558154924,739
hch_check,L00061,1571,2025-04-23 11:50:03,SHORT,3324.805,1405,2025-04-22 22:00:03,3337.567,ALIGNED,3336.607,ALIGNED,3337.567,ALIGNED,2025-04-23 11:20:00,False,3339.051,3324.805,3339.051,3386.646,3386.294,3339.051,1566.0,HCH,2025-04-23 11:45:00,3375.177615012602,3374.676394962725,3328.5888254768192,3348.5620086894864,1571
hch_check,L00073,2114,2025-04-25 11:25:03,LONG,3298.608,1957,2025-04-24 22:20:03,3353.176,AGAINST,3348.951,AGAINST,3353.176,AGAINST,2025-04-25 11:20:00,False,3299.179,3294.358,3294.358,3287.012,3299.531,3294.358,2114.0,HCH,2025-04-25 11:15:00,3332.4666986912766,3332.1297962167364,3302.2570721086477,3319.312193680492,2114
hch_check,L00081,2411,2025-04-28 13:15:03,LONG,3299.702,2229,2025-04-27 22:05:03,3325.64,AGAINST,3302.791,AGAINST,3325.64,AGAINST,2025-04-28 11:20:00,False,3302.284,3284.888,3284.888,3268.102,3271.342,3284.888,2389.0,HCH,2025-04-28 13:15:00,3306.6472632417112,3306.578156144779,3291.9804711222887,3292.5030124030436,2411
hch_check,L00097,2781,2025-04-29 22:05:03,LONG,3322.383,2780,2025-04-29 22:00:03,3317.26,ALIGNED,3337.643,AGAINST,3317.26,ALIGNED,2025-04-29 22:00:00,False,3323.362,3317.102,3317.102,3299.649,3299.78,3317.102,2781.0,HCH,2025-04-29 22:00:00,3316.7221460288224,3316.7784729340083,3319.851813831212,3317.9806552423656,2781
hch_check,L00098,2784,2025-04-29 22:20:03,SHORT,3319.405,2780,2025-04-29 22:00:03,3317.26,AGAINST,3337.643,ALIGNED,3317.26,AGAINST,2025-04-29 22:00:00,False,3323.362,3317.102,3323.362,3330.013,3329.342,3323.362,2781.0,HCH,2025-04-29 22:15:00,3316.7578958195804,3316.784235164659,3319.8913060996774,3318.046551397161,2784
hch_check,L00133,3769,2025-05-05 11:30:03,SHORT,3312.953,3608,2025-05-04 22:05:03,3238.49,AGAINST,3247.969,AGAINST,3238.49,AGAINST,2025-05-05 11:20:00,False,3316.958,3311.893,3316.958,3318.985,3318.643,3316.958,3768.0,HCH,2025-05-05 11:30:00,3259.3770303942447,3259.9101246191776,3297.3213907914987,3269.563602274265,3769
hch_check,L00141,4044,2025-05-06 11:25:03,SHORT,3380.524,3883,2025-05-05 22:00:03,3336.247,AGAINST,3334.038,AGAINST,3336.247,AGAINST,2025-05-06 11:20:00,False,3385.063,3379.544,3385.063,3387.099,3385.778,3385.063,4044.0,HCH,2025-05-06 11:15:00,3313.1474264482918,3313.817840115473,3377.1306484197157,3354.857690021189,4044
hch_check,L00158,4436,2025-05-07 22:05:03,SHORT,3368.897,4435,2025-05-07 22:00:03,3366.954,AGAINST,3400.723,ALIGNED,3366.954,AGAINST,2025-05-07 22:00:00,False,3373.86,3366.954,3373.86,3398.114,3393.812,3373.86,4436.0,HCH,2025-05-07 22:00:00,3367.3480640433822,3367.363476341458,3375.9064627010175,3382.8694219657127,4436
hch_check,L00182,5263,2025-05-12 22:05:03,SHORT,3234.239,5262,2025-05-12 22:00:03,3239.778,ALIGNED,3287.506,ALIGNED,3239.778,ALIGNED,2025-05-12 22:00:00,False,3241.807,3233.686,3241.807,3248.609,3248.396,3241.807,5263.0,HCH,2025-05-12 22:00:00,3280.9187118309023,3280.4542370863164,3232.5682733122712,3242.4964729949425,5263
hch_check,L00187,5426,2025-05-13 11:40:03,SHORT,3254.896,5262,2025-05-12 22:00:03,3239.778,AGAINST,3236.906,AGAINST,3239.778,AGAINST,2025-05-13 11:20:00,False,3258.576,3253.286,3258.576,3265.659,3263.969,3258.576,5423.0,HCH,2025-05-13 11:30:00,3266.4524297920493,3266.3374404408846,3254.1632214665565,3247.8448309416312,5426
