cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,n_trades,n_win,n_loss,win_rate,profit_factor,expectancy_r,net_r,net_usd,avg_winner_r,avg_loser_r,max_drawdown_r,max_drawdown_usd,longest_losing_streak,total_costs_usd,swap_total_usd,commission_total_usd,n_long,n_short
cfg_0020,8,200,0.7,0.5,3,5283,3599,1684,0.681241718720424,0.9394515786960561,-0.020119719343178064,-106.29247729000971,-185.33092620721902,0.4582392218033893,-1.042455722423045,120.31566724153089,849.0492690115408,6,1144.2115000000795,-54.43900000000004,0.0,2622,2661
cfg_0021,8,200,0.7,1.0,1,4663,2338,2325,0.5013939523911645,0.9276928406413215,-0.03748885518739806,-174.81053173883714,-1256.3193934941785,0.9592813291909661,-1.0398323782311036,210.4561361790565,1652.673330807052,10,1065.637500000075,-101.87100000000018,0.0,2339,2324
cfg_0022,8,200,0.7,1.0,2,4663,2338,2325,0.5013939523911645,0.9276928406413215,-0.03748885518739806,-174.81053173883714,-1256.3193934941785,0.9592813291909661,-1.0398323782311036,210.4561361790565,1652.673330807052,10,1065.637500000075,-101.87100000000018,0.0,2339,2324
cfg_0023,8,200,0.7,1.0,3,4663,2338,2325,0.5013939523911645,0.9276928406413215,-0.03748885518739806,-174.81053173883714,-1256.3193934941785,0.9592813291909661,-1.0398323782311036,210.4561361790565,1652.673330807052,10,1065.637500000075,-101.87100000000018,0.0,2339,2324
cfg_0024,8,200,0.7,1.5,1,3861,1558,2302,0.40362694300518137,0.9499562610034449,-0.030980821191307663,-119.61695061963889,-813.2804563943739,1.4569606629968512,-1.0383353915506741,137.9287960426212,1574.331120801637,12,926.1825000000588,-127.74300000000017,0.0,1939,1922
cfg_0025,8,200,0.7,1.5,2,3861,1558,2302,0.40362694300518137,0.9499562610034449,-0.030980821191307663,-119.61695061963889,-813.2804563943739,1.4569606629968512,-1.0383353915506741,137.9287960426212,1574.331120801637,12,926.1825000000588,-127.74300000000017,0.0,1939,1922
cfg_0026,8,200,0.7,1.5,3,3861,1558,2302,0.40362694300518137,0.9499562610034449,-0.030980821191307663,-119.61695061963889,-813.2804563943739,1.4569606629968512,-1.0383353915506741,137.9287960426212,1574.331120801637,12,926.1825000000588,-127.74300000000017,0.0,1939,1922
cfg_0027,8,200,0.7,2.0,1,3116,1034,2080,0.33204881181759793,0.9373566607637605,-0.043426616971349655,-135.31733848272552,-1323.9917253391984,1.9567156468073514,-1.038520831189088,150.2416930312854,1610.0245865073164,15,779.9430000000323,-139.0620000000001,0.0,1551,1565
cfg_0028,8,200,0.7,2.0,2,3116,1034,2080,0.33204881181759793,0.9373566607637605,-0.043426616971349655,-135.31733848272552,-1323.9917253391984,1.9567156468073514,-1.038520831189088,150.2416930312854,1610.0245865073164,15,779.9430000000323,-139.0620000000001,0.0,1551,1565
cfg_0029,8,200,0.7,2.0,3,3116,1034,2080,0.33204881181759793,0.9373566607637605,-0.043426616971349655,-135.31733848272552,-1323.9917253391984,1.9567156468073514,-1.038520831189088,150.2416930312854,1610.0245865073164,15,779.9430000000323,-139.0620000000001,0.0,1551,1565
cfg_0030,8,200,0.7,2.5,1,2555,722,1826,0.28335949764521196,0.9391040789575064,-0.0452255416433422,-115.55125889873932,-936.9281150559038,2.4577347409906545,-1.0391678564167202,141.2899712753221,1352.12473058158,17,679.3160000000491,-149.30299999999997,0.0,1306,1249
cfg_0031,8,200,0.7,2.5,2,2555,722,1826,0.28335949764521196,0.9391040789575064,-0.0452255416433422,-115.55125889873932,-936.9281150559038,2.4577347409906545,-1.0391678564167202,141.2899712753221,1352.12473058158,17,679.3160000000491,-149.30299999999997,0.0,1306,1249
cfg_0032,8,200,0.7,2.5,3,2555,722,1826,0.28335949764521196,0.9391040789575064,-0.0452255416433422,-115.55125889873932,-936.9281150559038,2.4577347409906545,-1.0391678564167202,141.2899712753221,1352.12473058158,17,679.3160000000491,-149.30299999999997,0.0,1306,1249
cfg_0033,8,200,0.7,3.0,1,2154,500,1644,0.2332089552238806,0.8714662001944306,-0.10196212102689939,-219.6264086919413,-1914.4657736882173,2.9565182381442834,-1.0393585673113108,226.48092380489027,2213.7675492941007,26,604.2615000000283,-159.0049999999999,0.0,1088,1066
cfg_0034,8,200,0.7,3.0,2,2154,500,1644,0.2332089552238806,0.8714662001944306,-0.10196212102689939,-219.6264086919413,-1914.4657736882173,2.9565182381442834,-1.0393585673113108,226.48092380489027,2213.7675492941007,26,604.2615000000283,-159.0049999999999,0.0,1088,1066
cfg_0035,8,200,0.7,3.0,3,2154,500,1644,0.2332089552238806,0.8714662001944306,-0.10196212102689939,-219.6264086919413,-1914.4657736882173,2.9565182381442834,-1.0393585673113108,226.48092380489027,2213.7675492941007,26,604.2615000000283,-159.0049999999999,0.0,1088,1066
cfg_0036,8,200,1.2,0.5,1,5213,3541,1672,0.6792633800115097,0.9370685487184476,-0.021002319021254597,-109.48508905780021,-273.5803774438412,0.4602585702762107,-1.0402276832570947,116.98543522325603,885.8559716047296,6,1136.7010000000816,-61.44600000000005,0.0,2583,2630
cfg_0037,8,200,1.2,0.5,2,5213,3541,1672,0.6792633800115097,0.9370685487184476,-0.021002319021254597,-109.48508905780021,-273.5803774438412,0.4602585702762107,-1.0402276832570947,116.98543522325603,885.8559716047296,6,1136.7010000000816,-61.44600000000005,0.0,2583,2630
cfg_0038,8,200,1.2,0.5,3,5213,3541,1672,0.6792633800115097,0.9370685487184476,-0.021002319021254597,-109.48508905780021,-273.5803774438412,0.4602585702762107,-1.0402276832570947,116.98543522325603,885.8559716047296,6,1136.7010000000816,-61.44600000000005,0.0,2583,2630
cfg_0039,8,200,1.2,1.0,1,4580,2280,2300,0.4978165938864629,0.9184005222780849,-0.04252740430261516,-194.77551170597744,-1563.7358699544577,0.9614888448837048,-1.0378130774090542,230.91457897452028,1840.6802369497873,10,1054.1465000000728,-106.1830000000002,0.0,2293,2287
cfg_0040,8,200,1.2,1.0,2,4580,2280,2300,0.4978165938864629,0.9184005222780849,-0.04252740430261516,-194.77551170597744,-1563.7358699544577,0.9614888448837048,-1.0378130774090542,230.91457897452028,1840.6802369497873,10,1054.1465000000728,-106.1830000000002,0.0,2293,2287
