cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,full_expectancy_r,full_n_trades,sub1_expectancy_r,sub1_n_trades,sub2_expectancy_r,sub2_n_trades,sub3_expectancy_r,sub3_n_trades,positive_subperiods
cfg_3354,23,350,2.2,1.5,-0.060745365837629,1648,-0.12567909132190438,555,0.015569715992212551,552,-0.06604016907187195,548,1
cfg_3357,23,350,2.2,2.0,-0.0834500472929703,1330,-0.1764031310832695,448,-0.03829610834741169,432,-0.03647180583095731,457,0
cfg_3360,23,350,2.2,2.5,-0.0496944862682832,1138,-0.12348474448298635,403,0.01688266711897878,357,-0.0363490576782599,386,1
cfg_3363,23,350,2.2,3.0,-0.0739247978552598,974,-0.10717737651676885,344,-0.049642751626965916,309,-0.057860843378626715,328,0
cfg_3366,23,350,2.7,0.5,-0.025343716642554,2636,-0.056849611506561856,870,0.012817794701552993,887,-0.02982195729587915,881,1
cfg_3369,23,350,2.7,1.0,-0.0424448042047636,2097,-0.11363259417852258,706,0.018772985409293313,684,-0.027807544588489382,709,1
cfg_3372,23,350,2.7,1.5,-0.05851578851575,1614,-0.1296433163224188,537,0.019390912458603436,543,-0.06022080133347819,541,1
cfg_3375,23,350,2.7,2.0,-0.0821537771037998,1304,-0.17023652541819898,437,-0.02443696767600107,426,-0.05259138215691345,448,0
cfg_3378,23,350,2.7,2.5,-0.0621871843999779,1115,-0.16525916440382823,394,0.034523248397176964,351,-0.04383930657705956,377,1
cfg_3381,23,350,2.7,3.0,-0.1036645862840549,948,-0.1767720325213054,335,-0.040909461359286206,298,-0.07793540640213903,321,0
cfg_3384,23,350,3.2,0.5,-0.0247957159725969,2605,-0.05046298133855923,861,0.0016868954030187782,881,-0.023335804833052233,865,1
cfg_3387,23,350,3.2,1.0,-0.041913440510652,2052,-0.10109292607996398,692,0.015455118971624842,669,-0.03379295974300581,696,1
cfg_3390,23,350,3.2,1.5,-0.0632935127481803,1557,-0.13394532677829307,527,0.004459266427655378,517,-0.05283762901506641,520,1
cfg_3393,23,350,3.2,2.0,-0.0764335193841171,1279,-0.16768222088790594,433,-0.01689216275037224,414,-0.04414828892442823,439,0
cfg_3396,23,350,3.2,2.5,-0.0748211145862887,1079,-0.15184449238787392,380,-0.006234086953169401,341,-0.05774089583106604,365,0
cfg_3399,23,350,3.2,3.0,-0.1128037830621642,925,-0.1754662199755682,327,-0.05183701639898212,293,-0.09620183937667184,311,0
cfg_3402,23,500,0.2,0.5,-0.0194110486457741,2272,-0.027548201881833698,743,0.025628680745933576,712,-0.048774124598746735,818,1
cfg_3405,23,500,0.2,1.0,-0.0330403304972393,2031,-0.10403528167774229,689,0.07237865003586727,620,-0.05305819364658977,722,1
cfg_3408,23,500,0.2,1.5,-0.0498701525810829,1688,-0.13237343848859404,576,0.06584360801815571,514,-0.06283350595418899,604,1
cfg_3411,23,500,0.2,2.0,-0.0983708109270138,1392,-0.1292308884591796,484,-0.02076735876132152,410,-0.11913473768170386,504,0
cfg_3414,23,500,0.2,2.5,-0.0631924241815264,1203,-0.10065763536087823,446,0.0054521928565288615,340,-0.08289279911086639,426,1
cfg_3417,23,500,0.2,3.0,-0.0650067471303392,1036,-0.05397640373839232,390,0.010981187099566542,293,-0.13301495391991025,359,1
cfg_3420,23,500,0.7,0.5,-0.0215439553830246,2265,-0.037348842497692956,743,0.02488982131820635,713,-0.04544309608364349,810,1
cfg_3423,23,500,0.7,1.0,-0.0387953651862901,2005,-0.11963866558318445,676,0.05669931796057715,622,-0.042693396821318584,707,1
cfg_3426,23,500,0.7,1.5,-0.0604764580963498,1654,-0.14441636557612825,568,0.05336376832071852,504,-0.06983105327990254,588,1
cfg_3429,23,500,0.7,2.0,-0.1189141866391847,1359,-0.17312250625622277,464,-0.04926856139505181,407,-0.11212345405424616,494,0
cfg_3432,23,500,0.7,2.5,-0.0811432136800135,1179,-0.11788622326005635,440,0.004952479339664346,337,-0.11621096984934,411,1
cfg_3435,23,500,0.7,3.0,-0.0581429776554894,1020,-0.0670182736342642,387,0.0393128249413078,289,-0.12267972879437083,350,1
cfg_3438,23,500,1.2,0.5,-0.0192066665206208,2250,-0.035520393540498844,739,0.029071968686461374,711,-0.044507844742167804,801,1
cfg_3441,23,500,1.2,1.0,-0.0468435344533811,1967,-0.11320250487687962,662,0.03912096003952794,612,-0.05649515168930629,693,1
cfg_3444,23,500,1.2,1.5,-0.0598043141204721,1636,-0.14864701262214347,560,0.04822704861146367,502,-0.06028567453358614,580,1
