ema_periods,periodos_htf_min,buf_bp,rr,max_concurrent_por_direccion,valid_bars,orden_viva,max_bars_trade,fixed_lot,entrada_viva,una_operacion_a_la_vez,n_sig,n_fill,n_win,n_loss,n_none,n_open_timeout,n_skip_stop,n_skip_concurrency,n_trades,win_rate,expectancy_r,expectancy_usd,max_drawdown_r
8,200,2.7,3.0,2,10,True,500,0.01,False,True,9895,1840,425,1402,117,12,16,7922,1839,0.2326217843459223,0.6707374319630212,0.07322533589057564,46.79210318865262
8,200,2.7,3.0,3,10,True,500,0.01,False,True,9895,1840,425,1402,117,12,16,7922,1839,0.2326217843459223,0.6707374319630212,0.07322533589057564,46.79210318865262
8,200,3.2,0.5,1,10,True,500,0.01,False,True,9895,4965,3337,1628,2258,0,14,2657,4965,0.6721047331319234,0.14609147883370407,0.01306641637062708,36.52868983815179
8,200,3.2,0.5,2,10,True,500,0.01,False,True,9895,4965,3337,1628,2258,0,14,2657,4965,0.6721047331319234,0.14609147883370407,0.01306641637062708,36.52868983815179
8,200,3.2,0.5,3,10,True,500,0.01,False,True,9895,4965,3337,1628,2258,0,14,2657,4965,0.6721047331319234,0.14609147883370407,0.01306641637062708,36.52868983815179
8,200,3.2,1.0,1,10,True,500,0.01,False,True,9895,4189,2073,2115,1014,0,14,4678,4188,0.49498567335243554,0.2618984068165621,0.02440616741918636,30.24543614760904
8,200,3.2,1.0,2,10,True,500,0.01,False,True,9895,4189,2073,2115,1014,0,14,4678,4188,0.49498567335243554,0.2618984068165621,0.02440616741918636,30.24543614760904
8,200,3.2,1.0,3,10,True,500,0.01,False,True,9895,4189,2073,2115,1014,0,14,4678,4188,0.49498567335243554,0.2618984068165621,0.02440616741918636,30.24543614760904
8,200,3.2,1.5,1,10,True,500,0.01,False,True,9895,3290,1302,1986,487,1,14,6104,3289,0.395985401459854,0.3616167369818121,0.03558788891385781,21.83377803656606
8,200,3.2,1.5,2,10,True,500,0.01,False,True,9895,3290,1302,1986,487,1,14,6104,3289,0.395985401459854,0.3616167369818121,0.03558788891385781,21.83377803656606
8,200,3.2,1.5,3,10,True,500,0.01,False,True,9895,3290,1302,1986,487,1,14,6104,3289,0.395985401459854,0.3616167369818121,0.03558788891385781,21.83377803656606
8,200,3.2,2.0,1,10,True,500,0.01,False,True,9895,2570,851,1715,263,3,14,7048,2569,0.33164458300857363,0.4409606344032429,0.04848953504668656,21.811887103557694
8,200,3.2,2.0,2,10,True,500,0.01,False,True,9895,2570,851,1715,263,3,14,7048,2569,0.33164458300857363,0.4409606344032429,0.04848953504668656,21.811887103557694
8,200,3.2,2.0,3,10,True,500,0.01,False,True,9895,2570,851,1715,263,3,14,7048,2569,0.33164458300857363,0.4409606344032429,0.04848953504668656,21.811887103557694
8,200,3.2,2.5,1,10,True,500,0.01,False,True,9895,2111,564,1539,145,7,14,7625,2110,0.268188302425107,0.5338362430760363,0.06378457534416666,25.78929749627116
8,200,3.2,2.5,2,10,True,500,0.01,False,True,9895,2111,564,1539,145,7,14,7625,2110,0.268188302425107,0.5338362430760363,0.06378457534416666,25.78929749627116
8,200,3.2,2.5,3,10,True,500,0.01,False,True,9895,2111,564,1539,145,7,14,7625,2110,0.268188302425107,0.5338362430760363,0.06378457534416666,25.78929749627116
8,200,3.2,3.0,1,10,True,500,0.01,False,True,9895,1764,402,1349,106,12,14,8011,1763,0.22958309537407195,0.6614668244823656,0.075154853260544,48.90131965013302
8,200,3.2,3.0,2,10,True,500,0.01,False,True,9895,1764,402,1349,106,12,14,8011,1763,0.22958309537407195,0.6614668244823656,0.075154853260544,48.90131965013302
8,200,3.2,3.0,3,10,True,500,0.01,False,True,9895,1764,402,1349,106,12,14,8011,1763,0.22958309537407195,0.6614668244823656,0.075154853260544,48.90131965013302
8,350,0.2,0.5,1,10,True,500,0.01,False,True,7765,4466,3068,1398,2165,0,16,1118,4466,0.6869682042095835,0.10770183166337902,0.01002608979885248,43.143894110996655
8,350,0.2,0.5,2,10,True,500,0.01,False,True,7765,4466,3068,1398,2165,0,16,1118,4466,0.6869682042095835,0.10770183166337902,0.01002608979885248,43.143894110996655
8,350,0.2,0.5,3,10,True,500,0.01,False,True,7765,4466,3068,1398,2165,0,16,1118,4466,0.6869682042095835,0.10770183166337902,0.01002608979885248,43.143894110996655
